# Cyrillic is not fully supported!

# All inputs are formated like so:
# type,name,price,profit,risk,exiry_date

# Stocks:
Stock,Apple,12500,1.02,0.04
Stock,Alphabet,2867.5,1.03,0.06
Stock,Kodak,5.16,1.01,0.02

# Obligations:
Obligation,VK publication 1,1028,1.01,0.02,01.11.2024
Obligation,VK publication 2,1028,1.01,0.02,01.02.2025
Obligation,Gazprom,1028,1.02,0.08,01.06.2025
Obligation,GDLK,71961,1.05,0.12,01.06.2027

# Metals:
Metal,Gold,455.57,1.005,0.01
Metal,Silver,53.73,1.005,0.01

# Currencies:
Currency,RUB,1,1,0
Currency,USD,74.1,1.01,0.07
Currency,EUR,83.4725,1.008,0.06
